,Time,infragravity heights
0,2006-01-01,9.767108110797702
1,2006-01-02,10.627162627705086
2,2006-01-03,9.46126092756089
3,2006-01-04,11.153176068893286
4,2006-01-05,13.05235524342759
5,2006-01-06,11.756648392935078
6,2006-01-07,9.655859769714208
7,2006-01-08,8.31045124836764
8,2006-01-09,8.955522275978748
9,2006-01-10,9.990900405890507
10,2006-01-11,9.68424071731883
11,2006-01-12,8.410386258770025
12,2006-01-13,8.020662043326203
13,2006-01-14,8.008298329502939
14,2006-01-15,8.835795889449834
15,2006-01-16,8.027457860624711
16,2006-01-17,7.968421956786934
17,2006-01-18,9.240779488667297
18,2006-01-19,9.73547007390925
19,2006-01-20,8.936220365246863
20,2006-01-21,8.466516204301838
21,2006-01-22,8.11729951486393
22,2006-01-23,8.545716202351782
23,2006-01-24,10.842392038499657
24,2006-01-25,9.510265720646688
25,2006-01-26,8.44883425285288
26,2006-01-27,8.96682434284798
27,2006-01-28,7.854274970135045
28,2006-01-29,7.402551548748148
29,2006-01-30,7.918847582934369
30,2006-01-31,6.674455683569095
31,2006-02-01,6.959180016590256
32,2006-02-02,8.015028179700527
33,2006-02-03,7.884072879194713
34,2006-02-04,7.289048838049463
35,2006-02-05,11.710620551057946
36,2006-02-06,10.924893373140659
37,2006-02-07,13.111406841793473
38,2006-02-08,11.764654244989586
39,2006-02-09,10.375142192851023
40,2006-02-10,10.156196429900067
41,2006-02-11,9.637932206802763
42,2006-02-12,8.662171644466738
43,2006-02-13,10.343767076135192
44,2006-02-14,10.876031695790157
45,2006-02-15,12.034450485714288
46,2006-02-16,9.632396231846508
47,2006-02-17,7.9683236327651255
48,2006-02-18,7.030919366611515
49,2006-02-19,7.260593822337462
50,2006-02-20,7.605718016673395
51,2006-02-21,7.2815308419846785
52,2006-02-22,6.856164381333503
53,2006-02-23,6.161169695439114
54,2006-02-24,5.861580010587161
55,2006-02-25,5.385579635524919
56,2006-02-26,5.831079124076566
57,2006-02-27,6.1276780061267635
58,2006-02-28,6.584454554636772
59,2006-03-01,7.462278924368926
60,2006-03-02,7.301617908023152
61,2006-03-03,7.267259990628504
62,2006-03-04,8.063709235449313
63,2006-03-05,7.94479900117391
64,2006-03-06,7.642774602294171
65,2006-03-07,8.21706081233409
66,2006-03-08,9.224847432971387
67,2006-03-09,10.839927507232561
68,2006-03-10,10.640768120784028
69,2006-03-11,14.723813836791129
70,2006-03-12,12.60726485147864
71,2006-03-13,10.736798830974573
72,2006-03-14,8.765468595390598
73,2006-03-15,8.576949162336463
74,2006-03-16,8.482701821912599
75,2006-03-17,8.819378240711309
76,2006-03-18,9.465932216728273
77,2006-03-19,7.9722422970600775
78,2006-03-20,8.24887901506059
79,2006-03-21,7.799807660748456
80,2006-03-22,8.284911189114423
81,2006-03-23,8.052241258491375
82,2006-03-24,6.944304197567003
83,2006-03-25,7.9587829897701825
84,2006-03-26,7.903506738607806
85,2006-03-27,7.286708675836204
86,2006-03-28,7.235929070223683
87,2006-03-29,7.422516134179598
88,2006-03-30,7.78622682531068
89,2006-03-31,7.225394914492567
90,2006-04-01,8.162509435179404
91,2006-04-02,8.588829672942374
92,2006-04-03,8.910690397996602
93,2006-04-04,9.454470425058176
94,2006-04-05,9.693403011905335
95,2006-04-06,10.246246300185637
96,2006-04-07,12.044470814547836
97,2006-04-08,13.31975742757272
98,2006-04-09,13.656800324525909
99,2006-04-10,11.520190645685974
100,2006-04-11,10.314690610106396
101,2006-04-12,9.228288278261726
102,2006-04-13,8.156764769315535
103,2006-04-14,8.085081075976838
104,2006-04-15,8.110639107106069
105,2006-04-16,7.557197511800492
106,2006-04-17,7.926934056425797
107,2006-04-18,7.3296734574924605
108,2006-04-19,7.87508455615512
109,2006-04-20,8.707310395077569
110,2006-04-21,8.280266011452332
111,2006-04-22,7.4617242452273445
112,2006-04-23,7.815532006801364
113,2006-04-24,8.043060076567212
114,2006-04-25,8.504760415709102
115,2006-04-26,9.049036457235134
116,2006-04-27,8.908328185467994
117,2006-04-28,7.966544587759918
118,2006-04-29,7.64791423980125
119,2006-04-30,7.760777501198247
120,2006-05-01,8.797557204332435
121,2006-05-02,8.43689660846778
122,2006-05-03,10.63514510124302
123,2006-05-04,20.037364124082263
124,2006-05-05,15.313317294919901
125,2006-05-06,12.9005017981795
126,2006-05-07,10.682749377744901
127,2006-05-08,9.144950373824402
128,2006-05-09,8.263933565759567
129,2006-05-10,7.3965795671358805
130,2006-05-11,7.744436521706084
131,2006-05-12,8.111661759228502
132,2006-05-13,8.220028187805028
133,2006-05-14,8.193150087301847
134,2006-05-15,8.530828663230498
135,2006-05-16,10.740224147167595
136,2006-05-17,11.817010652487914
137,2006-05-18,13.946910881148604
138,2006-05-19,12.357422170325492
139,2006-05-20,10.221769563594593
140,2006-05-21,9.694633669272699
141,2006-05-22,7.677026789705978
142,2006-05-23,6.666707397724065
143,2006-05-24,7.450199786431694
144,2006-05-25,7.190374749322968
145,2006-05-26,6.807105947992538
146,2006-05-27,6.371372760047255
147,2006-05-28,7.62626258340186
148,2006-05-29,8.542416372326212
149,2006-05-30,10.36269141375364
150,2006-05-31,15.659840345884843
151,2006-06-01,16.418774661073584
152,2006-06-02,16.218680703492996
153,2006-06-03,14.147721958799979
154,2006-06-04,14.67065382087143
155,2006-06-05,13.631068219120854
156,2006-06-06,11.73158443398677
157,2006-06-07,9.851730425793775
158,2006-06-08,10.156667683098023
159,2006-06-09,12.806320287443606
160,2006-06-10,14.864497660035399
161,2006-06-11,12.977339773902285
162,2006-06-12,11.55206614742299
